Entity,Code,Year,memory,flash,disk_drives,ssd
World,OWID_WRL,1956,0.0,0.0,9200000000.0,0.0
World,OWID_WRL,1957,411041792000000.0,0.0,0.0,0.0
World,OWID_WRL,1959,67947725000000.0,0.0,7600000000.0,0.0
World,OWID_WRL,1960,5242880000000.0,0.0,3600000000.0,0.0
World,OWID_WRL,1964,0.0,0.0,3518620000.0,0.0
World,OWID_WRL,1965,2642412000000.0,0.0,0.0,0.0
World,OWID_WRL,1966,0.0,0.0,1047260000.0,0.0
World,OWID_WRL,1970,734003000000.0,0.0,259700000.0,0.0
World,OWID_WRL,1973,399360000000.0,0.0,0.0,0.0
World,OWID_WRL,1974,314573000000.0,0.0,185000000.0,0.0
World,OWID_WRL,1975,49920000000.0,0.0,0.0,0.0
World,OWID_WRL,1976,23040000000.0,0.0,0.0,0.0
World,OWID_WRL,1978,15200000000.0,0.0,0.0,0.0
World,OWID_WRL,1979,6704000000.0,0.0,0.0,0.0
World,OWID_WRL,1980,6480000000.0,0.0,0.0,0.0
World,OWID_WRL,1981,4479000000.0,0.0,0.0,0.0
World,OWID_WRL,1982,1980000000.0,0.0,0.0,0.0
World,OWID_WRL,1984,1331000000.0,0.0,0.0,0.0
World,OWID_WRL,1985,300000000.0,0.0,31390000.0,0.0
World,OWID_WRL,1986,190000000.0,0.0,24450000.0,0.0
World,OWID_WRL,1987,133000000.0,0.0,14970000.0,0.0
World,OWID_WRL,1988,0.0,0.0,9970000.0,0.0
World,OWID_WRL,1989,113000000.0,0.0,7480000.0,0.0
World,OWID_WRL,1990,46000000.0,0.0,3270000.0,0.0
World,OWID_WRL,1991,40000000.0,0.0,2790000.0,0.0
World,OWID_WRL,1992,26300000.0,0.0,1400000.0,0.0
World,OWID_WRL,1993,0.0,0.0,718000.0,0.0
World,OWID_WRL,1994,0.0,0.0,433000.0,0.0
World,OWID_WRL,1995,0.0,0.0,214000.0,0.0
World,OWID_WRL,1996,5250000.0,0.0,128000.0,0.0
World,OWID_WRL,1997,2160000.0,0.0,48400.0,0.0
World,OWID_WRL,1998,840000.0,0.0,24800.0,0.0
World,OWID_WRL,1999,780000.0,0.0,8800.0,0.0
World,OWID_WRL,2000,700000.0,0.0,4070.0,0.0
World,OWID_WRL,2001,150000.0,0.0,2590.0,0.0
World,OWID_WRL,2002,130000.0,0.0,1220.0,0.0
World,OWID_WRL,2003,76000.0,191000.0,1060.0,0.0
World,OWID_WRL,2004,0.0,0.0,609.0,0.0
World,OWID_WRL,2005,0.0,76200.0,406.0,0.0
World,OWID_WRL,2006,73000.0,14600.0,219.0,0.0
World,OWID_WRL,2007,24000.0,7320.0,200.0,0.0
World,OWID_WRL,2008,10000.0,1830.0,100.0,0.0
World,OWID_WRL,2009,0.0,1620.0,70.0,0.0
World,OWID_WRL,2010,0.0,1190.0,45.0,0.0
World,OWID_WRL,2011,5100.0,1007.0,36.7,0.0
World,OWID_WRL,2012,3700.0,580.0,0.0,0.0
World,OWID_WRL,2013,0.0,458.0,0.0,625.0
World,OWID_WRL,2014,0.0,335.0,35.0,375.0
World,OWID_WRL,2015,0.0,145.0,28.3,250.0
World,OWID_WRL,2016,2700.0,0.0,27.7,203.0
World,OWID_WRL,2017,0.0,0.0,25.0,0.0
World,OWID_WRL,2018,0.0,0.0,23.4,104.0
World,OWID_WRL,2019,0.0,0.0,18.7,79.2
World,OWID_WRL,2020,0.0,0.0,16.2,75.0
World,OWID_WRL,2021,2600.0,0.0,0.0,0.0
World,OWID_WRL,2022,2100.0,0.0,14.3,49.5
