Entity,Code,Year,transistors_per_microprocessor,transistors_log,year_diff,expected_transistors
World,OWID_WRL,1971,2308,7.744136627627991,0,2308.0
World,OWID_WRL,1972,3554,8.175829008714597,1,3264.004901957104
World,OWID_WRL,1974,6097,8.715552125907816,3,6528.009803914208
World,OWID_WRL,1979,29163,10.280656061489179,8,36928.0
World,OWID_WRL,1982,135772,11.818732287280556,11,104448.15686262732
World,OWID_WRL,1985,273841,12.520302924964854,14,295424.0
World,OWID_WRL,1986,273841,12.520302924964854,15,417792.6274505093
World,OWID_WRL,1988,273841,12.520302924964854,17,835585.2549010186
World,OWID_WRL,1989,1207900,14.00439387259337,18,1181696.0
World,OWID_WRL,1990,1207900,14.00439387259337,19,1671170.5098020372
World,OWID_WRL,1992,3105900,14.948814086422313,21,3342341.0196040743
World,OWID_WRL,1993,3105900,14.948814086422313,22,4726784.0
World,OWID_WRL,1994,3105900,14.948814086422313,23,6684682.039208149
World,OWID_WRL,1995,9646616,16.08211773823968,24,9453568.0
World,OWID_WRL,1996,9646616,16.08211773823968,25,13369364.078416297
World,OWID_WRL,1997,9646616,16.08211773823968,26,18907136.0
World,OWID_WRL,1998,15261378,16.540835881185334,27,26738728.156832594
World,OWID_WRL,1999,21673922,16.89162034467665,28,37814272.0
World,OWID_WRL,2000,37180264,17.43128864082408,29,53477456.31366519
World,OWID_WRL,2001,42550656,17.5662058300211,30,75628544.0
World,OWID_WRL,2002,220673400,19.21219433836281,31,106954912.62733038
World,OWID_WRL,2003,220673400,19.21219433836281,32,151257088.0
World,OWID_WRL,2004,273842000,19.428061855694445,33,213909825.25466076
World,OWID_WRL,2005,305052770,19.53599533599952,34,302514176.0
World,OWID_WRL,2006,582941600,20.18359756777068,35,427819650.5093215
World,OWID_WRL,2007,805842200,20.50739849966546,36,605028352.0
World,OWID_WRL,2008,805842200,20.50739849966546,37,855639301.018643
World,OWID_WRL,2009,2308241400,21.559751772843796,38,1210056704.0
World,OWID_WRL,2010,2308241400,21.559751772843796,39,1711278602.037286
World,OWID_WRL,2011,2600000000,21.678777281973847,40,2420113408.0
World,OWID_WRL,2012,2600000000,21.678777281973847,41,3422557204.074572
World,OWID_WRL,2013,5000000000,22.33270374938051,42,4840226816.0
World,OWID_WRL,2014,5700000000,22.463732011786917,43,6845114408.149144
World,OWID_WRL,2016,8000000000,22.80270737862625,45,13690228816.298288
World,OWID_WRL,2017,19200000000,23.678176115980147,46,19360907264.0
World,OWID_WRL,2018,21100000000,23.77253887742843,47,27380457632.596577
World,OWID_WRL,2019,39500000000,24.399566508853486,48,38721814528.0
World,OWID_WRL,2020,39500000000,24.399566508853486,49,54760915265.19315
World,OWID_WRL,2021,58200000000,24.787151191683805,50,77443629056.0
